model,key_suffix,purpose,calls,ok,failed,usage_missing_calls,input_tokens,output_tokens,total_tokens,input_tokens_missing_calls,output_tokens_missing_calls,total_tokens_missing_calls
qwen3.5-omni-flash,...0brU,spatial_memory_label,2,2,0,0,250,26,276,0,0,0
qwen3.5-omni-plus,...0brU,object_detection_max5,2,2,0,0,4464,458,4922,0,0,0
